Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,43.310001373291016,43.47999954223633,42.0099983215332,43.47999954223633,42.99208450317383,1541058
2022-12-01,43.29999923706055,44.630001068115234,42.83000183105469,43.97999954223633,43.486473083496094,1189203
2022-12-02,43.97999954223633,45.09000015258789,43.97999954223633,44.83000183105469,44.32693862915039,1092508
2022-12-05,44.95000076293945,44.95000076293945,43.79999923706055,43.970001220703125,43.47658920288086,1608291
2022-12-06,44.02000045776367,46.58000183105469,43.83000183105469,45.38999938964844,44.880653381347656,1569287
2022-12-07,45.09000015258789,45.630001068115234,44.54999923706055,44.959999084472656,44.455474853515625,2492234
2022-12-08,45.0,45.5,44.869998931884766,45.25,44.74222183227539,1880121
2022-12-09,44.790000915527344,44.88999938964844,43.650001525878906,44.11000061035156,43.61501693725586,2189402
2022-12-13,43.95000076293945,44.119998931884766,42.849998474121094,43.779998779296875,43.288719177246094,1337615
2022-12-14,43.56999969482422,44.0,42.470001220703125,43.439998626708984,42.95253372192383,1275063
2022-12-15,43.13999938964844,43.150001525878906,42.22999954223633,42.369998931884766,41.89453887939453,1858310
2022-12-16,42.43000030517578,43.099998474121094,42.119998931884766,43.0,42.51747131347656,1366737
2022-12-19,43.029998779296875,43.380001068115234,41.779998779296875,42.22999954223633,41.75611114501953,630854
2022-12-20,42.40999984741211,42.61000061035156,42.04999923706055,42.400001525878906,41.9242057800293,715929
2022-12-21,42.47999954223633,42.83000183105469,41.93000030517578,42.7599983215332,42.2801628112793,485915
2022-12-22,42.58000183105469,42.630001068115234,42.099998474121094,42.47999954223633,42.0033073425293,497096
2022-12-23,42.40999984741211,43.029998779296875,42.13999938964844,42.93000030517578,42.44825744628906,359235
2022-12-26,43.13999938964844,43.5,42.900001525878906,43.5,43.01185989379883,20696
2022-12-27,43.15999984741211,43.279998779296875,42.66999816894531,43.099998474121094,42.61634826660156,571904
2022-12-28,42.849998474121094,42.970001220703125,42.099998474121094,42.65999984741211,42.1812858581543,576794
2022-12-29,42.779998779296875,43.11000061035156,41.83000183105469,42.5099983215332,42.0329704284668,398795
2022-12-30,42.560001373291016,42.560001373291016,42.06999969482422,42.54999923706055,42.0725212097168,1016331
2023-01-02,41.849998474121094,42.95000076293945,41.849998474121094,42.150001525878906,41.6770133972168,49380
2023-01-03,42.189998626708984,42.369998931884766,41.130001068115234,41.150001525878906,40.688232421875,836685
2023-01-04,41.290000915527344,41.650001525878906,40.08000183105469,40.349998474121094,39.89720916748047,1994715
